Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
dutCursedTotems,items,Item,,,"Cursed Totem",,,,,,,,,,,"Lanetli Totem",,
dutCursedTotemsDesc,items,Item,,,"Cursed Totem",,,,,,,,,,,"Lanetli Totem",,
dutResourceMythicParts,items,Item,,,"Mythic Parts",,,,,,,,,,,"Mistik Parçalar",,
dutResourceMythicPartsDesc,items,Item,,,"Mythic Parts",,,,,,,,,,,"Mistik Parçalar",,

ddutT6RogueHelmetBundleutT6LumberjackHelmetBundle,items,Item,,,"Lumberjack's T6 Helmet Bundle",,,,,,,,,,,"6. Seviye Oduncu Şapkası Kutusu",,
dutT6LumberjackHelmetBundleDesc,items,Item,,,"Contains a legendary T6 Lumberjack Helmet. Open to receive your reward.",,,,,,,,,,,"6. Seviye Oduncu Şapkası içerir. Açınca ödülünü alırsın.",,
dutT6LumberjackOutfitBundle,items,Item,,,"Lumberjack's T6 Outfit Bundle",,,,,,,,,,,"6. Seviye Oduncu Kıyafeti Kutusu",,
dutT6LumberjackOutfitBundleDesc,items,Item,,,"Contains a legendary T6 Lumberjack Outfit. Open to receive your reward.",,,,,,,,,,,"6. Seviye Oduncu Kıyafeti içerir. Açınca ödülünü alırsın.",,
dutT6LumberjackGlovesBundle,items,Item,,,"Lumberjack's T6 Gloves Bundle",,,,,,,,,,,"6. Seviye Oduncu Eldiveni Kutusu",,
dutT6LumberjackGlovesBundleDesc,items,Item,,,"Contains a legendary T6 Lumberjack Gloves. Open to receive your reward.",,,,,,,,,,,"6. Seviye Oduncu Eldiveni içerir. Açınca ödülünü alırsın.",,
dutT6LumberjackBootsBundle,items,Item,,,"Lumberjack's T6 Gloves Boots",,,,,,,,,,,"6. Seviye Oduncu Çizmesi Kutusu",,
dutT6LumberjackBootsBundleDesc,items,Item,,,"Contains a legendary T6 Lumberjack Boots. Open to receive your reward.",,,,,,,,,,,"6. Seviye Oduncu Çizmesi içerir. Açınca ödülünü alırsın.",,

dutT6PreacherHelmetBundle,items,Item,,,"Preacher's T6 Helmet Bundle",,,,,,,,,,,"6. Seviye Vaiz Şapkası Kutusu",,
dutT6PreacherHelmetBundleDesc,items,Item,,,"Contains a legendary T6 Preacher Helmet. Open to receive your reward.",,,,,,,,,,,"6. Seviye Vaiz Şapkası içerir. Açınca ödülünü alırsın.",,
dutT6PreacherOutfitBundle,items,Item,,,"Preacher's T6 Outfit Bundle",,,,,,,,,,,"6. Seviye Vaiz Kıyafeti Kutusu",,
dutT6PreacherOutfitBundleDesc,items,Item,,,"Contains a legendary T6 Preacher Outfit. Open to receive your reward.",,,,,,,,,,,"6. Seviye Vaiz Kıyafeti içerir. Açınca ödülünü alırsın.",,
dutT6PreacherGlovesBundle,items,Item,,,"Preacher's T6 Gloves Bundle",,,,,,,,,,,"6. Seviye Vaiz Eldiveni Kutusu",,
dutT6PreacherGlovesBundleDesc,items,Item,,,"Contains a legendary T6 Preacher Gloves. Open to receive your reward.",,,,,,,,,,,"6. Seviye Vaiz Eldiveni içerir. Açınca ödülünü alırsın.",,
dutT6PreacherBootsBundle,items,Item,,,"Preacher's T6 Gloves Boots",,,,,,,,,,,"6. Seviye Vaiz Çizmesi Kutusu",,
dutT6PreacherBootsBundleDesc,items,Item,,,"Contains a legendary T6 Preacher Boots. Open to receive your reward.",,,,,,,,,,,"6. Seviye Vaiz Çizmesi içerir. Açınca ödülünü alırsın.",,

dutT6RogueHelmetBundle,items,Item,,,"Rogue's T6 Helmet Bundle",,,,,,,,,,,"6. Seviye Haydut Şapkası Kutusu",,
dutT6RogueHelmetBundleDesc,items,Item,,,"Contains a legendary T6 Rogue Helmet. Open to receive your reward.",,,,,,,,,,,"6. Seviye Haydut Şapkası içerir. Açınca ödülünü alırsın.",,
